Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial	TrialOnset	TrialOffset	Ladder	CueOnset	RT	KeyPressed	onsetPlanned	onset	duration
BM_112	37	0.4954441	2181.jpg	69	4	0.5	1	2	50	130	195.502711984096	196.954386005062	0.85	850.995415938087	1194.64474695269	b	195.5	195.502711984096	1.45167402096558
BM_112	62	0.3275659	1182.jpg	25	7	0.5	1	2	51	131	197.004374335054	198.455996704986	0.85	850.941053940915	1196.98950601742	b	197	197.004374335054	1.45162236993201
BM_112	75	0.2169003	2112.jpg	59	0	0	0	2	52	132	198.506138225086	199.957720529987	0.85	NaN	NaN	x	198.5	198.506138225086	1.45158230490051
BM_112	17	0.7278455	2248.jpg	79	2	1	1	2	53	133	200.007803165005	201.4594909671	0.85	850.897577009164	1193.59030399937	b	200	200.007803165005	1.45168780209497
BM_112	63	0.3251193	2008.jpg	42	7	0.5	0	2	54	134	201.492541764048	202.944481438026	0.85	NaN	NaN	x	201.5	201.492541764048	1.4519396739779
BM_112	41	0.4693346	2194.jpg	70	5	0	0	2	55	135	202.994435916073	204.446087822085	0.85	NaN	NaN	x	203	202.994435916073	1.45165190601256
BM_112	59	0.341486	1220.jpg	34	7	0	0	2	56	136	204.49619183701	205.94774752704	0.85	NaN	NaN	x	204.5	204.49619183701	1.45155569002964
BM_112	12	0.7704121	2154.jpg	66	1	0	0	2	57	137	205.997803875012	207.449467173079	0.85	NaN	NaN	x	206	205.997803875012	1.45166329806671
BM_112	25	0.6390235	1183.jpg	26	3	0	0	2	58	138	207.49955366808	208.951235265005	0.85	NaN	NaN	x	207.5	207.49955366808	1.45168159692548
BM_112	28	0.624662	1007.jpg	1	3	0	0	2	59	139	209.001179477083	210.452904682024	0.85	NaN	NaN	x	209	209.001179477083	1.45172520494089
BM_112	26	0.6367972	2201.jpg	71	3	1	1	2	60	140	210.502901223022	211.95449621405	0.85	850.946870050393	1202.48132001143	b	210.5	210.502901223022	1.45159499102738
BM_112	57	0.3508474	1173.jpg	24	7	0.5	1	2	61	141	212.004610587028	213.45619782107	0.85	850.917403004132	1172.75744501967	b	212	212.004610587028	1.45158723404165
BM_112	2	0.8513096	1150.jpg	23	0	0	0	2	62	142	213.50634399103	214.957691453048	0.85	NaN	NaN	x	213.5	213.50634399103	1.45134746201802
BM_112	58	0.3454806	2149.jpg	64	7	0	0	2	63	143	215.007917836076	216.459599925089	0.85	NaN	NaN	x	215	215.007917836076	1.45168208901305
BM_112	20	0.6755414	1027.jpg	6	2	1	1	2	64	144	216.492634807015	217.944608379039	0.85	851.298161083832	1108.74628007878	b	216.5	216.492634807015	1.45197357202414
BM_112	34	0.5286803	2164.jpg	68	4	0	0	2	65	145	217.994644271093	219.446343566058	0.85	NaN	NaN	x	218	217.994644271093	1.45169929496478
BM_112	30	0.6102596	2053.jpg	51	3	1	1	2	66	146	219.49633020605	220.947927203029	0.85	850.963350036182	NaN	x	219.5	219.49633020605	1.45159699697979
BM_112	70	0.2745126	2111.jpg	58	8	1	1	2	67	147	220.99806252704	222.449594513047	0.85	850.940132979304	1123.30422003288	b	221	220.99806252704	1.45153198600747
BM_112	53	0.3656329	2043.jpg	49	6	0.5	1	2	68	148	222.499675483094	223.951386939036	0.85	851.033317972906	1117.67571698874	b	222.5	222.499675483094	1.45171145594213
BM_112	24	0.6525507	2125.jpg	62	2	1	1	2	69	149	224.001376361004	225.453077642014	0.85	850.983126088977	1143.98074103519	b	224	224.001376361004	1.45170128101017
BM_112	47	0.4228113	1246.jpg	37	5	1	1	2	70	150	225.50302850001	226.954460076988	0.85	850.998571026139	1082.32894504908	b	225.5	225.50302850001	1.45143157697748
BM_112	51	0.3693179	1145.jpg	21	6	0.5	1	2	71	151	227.004815445049	228.456361082033	0.85	850.861566956155	1036.55320894904	b	227	227.004815445049	1.45154563698452
BM_112	14	0.7447276	1191.jpg	27	1	0.5	0	2	72	152	228.506433584029	229.957885925076	0.85	NaN	NaN	x	228.5	228.506433584029	1.45145234104712
BM_112	49	0.3869308	1127.jpg	18	6	0	0	2	73	153	230.008175171097	231.459717884078	0.85	NaN	NaN	x	230	230.008175171097	1.45154271298088
BM_112	68	0.2962095	2218.jpg	75	8	0	0	2	74	154	231.492864611093	232.944822194986	0.85	NaN	NaN	x	231.5	231.492864611093	1.45195758389309
BM_112	38	0.4796713	2249.jpg	80	4	0	0	2	75	155	232.994853085023	234.446469724993	0.85	NaN	NaN	x	233	232.994853085023	1.45161663996987
BM_112	32	0.5484327	1009.jpg	2	3	0	0	2	76	156	234.496534249047	235.948180425097	0.85	NaN	NaN	x	234.5	234.496534249047	1.45164617605042
BM_112	21	0.6699121	1057.jpg	12	2	1	1	2	77	157	235.998262920999	237.449885133072	0.85	850.93397309538	1203.11722101178	b	236	235.998262920999	1.45162221207283
BM_112	16	0.7290723	1114.jpg	16	1	0	0	2	78	158	237.499831248075	238.951570020057	0.85	NaN	NaN	x	237.5	237.499831248075	1.45173877198249
BM_112	60	0.3301544	1019.jpg	5	7	0.5	0	2	79	159	239.001650052029	240.453235547058	0.85	NaN	NaN	x	239	239.001650052029	1.45158549502958
BM_112	55	0.3606323	2015.jpg	44	6	0	0	2	80	160	240.503221916035	241.954884799081	0.85	NaN	NaN	x	240.5	240.503221916035	1.45166288304608
BM_112	24	0.6525507	2125.jpg	62	2	1	1	3	1	161	242.004995062016	243.456616154057	0.85	850.92782007996	1164.36966008041	b	242	242.004995062016	1.45162109204102
BM_112	34	0.5286803	2164.jpg	68	4	0	0	3	2	162	243.506686639041	244.958310583024	0.85	NaN	NaN	x	243.5	243.506686639041	1.45162394398358
BM_112	6	0.8173348	2209.jpg	72	0	0	0	3	3	163	245.008326290059	246.459932072088	0.85	NaN	NaN	x	245	245.008326290059	1.45160578202922
BM_112	48	0.3976282	1073.jpg	14	5	0	0	3	4	164	246.493049485027	247.944900371018	0.85	NaN	NaN	x	246.5	246.493049485027	1.45185088599101
BM_112	33	0.5455787	2153.jpg	65	4	0.5	0	3	5	165	247.995081766043	249.446658175089	0.85	NaN	NaN	x	248	247.995081766043	1.45157640904654
