subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	FixationTime	Contingency	PlannedOnset	onset	duration
BM_141	0	1	1	1	43	193.20121710698	1007.jpg	1150.jpg	69	71	1	u	8	1	708.276910008863	0.2548895	0.2262125	193.920081702992	1	193.2	193.20121710698	0.718864596012281
BM_141	0	1	1	1	44	197.506111156981	1182.jpg	2128.jpg	30	32	0	u	3	0	891.382910020184	0.5866356	0.5729401	198.409772988001	0.5	197.5	197.506111156981	0.903661831020145
BM_141	0	1	1	1	45	203.395668582991	1228.jpg	2094.jpg	17	22	1	u	2	1	881.818167981692	0.7475797	0.6865404	204.297108179977	0.5	203.4	203.395668582991	0.901439596986165
BM_141	0	1	1	1	46	209.502441823977	1146.jpg	2111.jpg	47	42	1	u	5	1	815.051525016315	0.418096	0.4743448	210.336852821987	1	209.5	209.502441823977	0.834410998009844
BM_141	0	1	1	1	47	213.206546545989	1027.jpg	2149.jpg	51	56	0	i	6	1	958.937443007017	0.371023	0.3470984	214.177872924978	0.5	213.2	213.206546545989	0.971326378989033
BM_141	0	1	1	1	48	220.097987764981	1226.jpg	1144.jpg	70	72	0	i	8	1	1083.49560401984	0.2450206	0.1907257	221.199593872996	1	220.1	220.097987764981	1.1016061080154
BM_141	0	1	1	1	49	229.408128880983	2063.jpg	1028.jpg	12	15	0	u	1	0	1301.38560000341	0.7771626	0.7635191	230.726498097996	1	229.4	229.408128880983	1.31836921701324
BM_141	0	1	1	1	50	233.395929883001	2155.jpg	1019.jpg	45	41	0	i	5	1	1105.56381597416	0.4553872	0.4886151	234.513783240982	1	233.4	233.395929883001	1.11785335798049
BM_141	0	1	1	1	51	238.001289111999	1228.jpg	2218.jpg	17	18	1	i	2	0	756.205736979609	0.7475797	0.7466257	238.76950474098	0.5	238	238.001289111999	0.768215628981125
BM_141	0	1	1	1	52	241.906028900994	2015.jpg	2125.jpg	9	11	0	u	1	0	1027.474884002	0.8099306	0.7871368	242.956299363985	1	241.9	241.906028900994	1.05027046299074
BM_141	0	1	1	1	53	249.997937264998	2058.jpg	2118.jpg	35	33	0	u	4	0	1471.55704998295	0.5321871	0.5690408	251.482880404976	1	250	249.997937264998	1.48494313997799
BM_141	0	1	1	1	54	254.502956599987	1060.jpg	1130.jpg	53	54	1	x	6	999	999000	0.3590905	0.3540342	256.004210910993	0.5	254.5	254.502956599987	1.50125431100605
BM_141	0	1	1	1	55	258.007046501996	1207.jpg	1060.jpg	55	53	0	i	6	1	1006.44764400204	0.348733	0.3590905	259.024106247991	0.5	258	258.007046501996	1.01705974599463
BM_141	0	1	1	1	56	261.911363291991	2111.jpg	2164.jpg	42	46	0	u	5	0	1038.13409499708	0.4743448	0.4436071	262.96393287598	1	261.9	261.911363291991	1.05256958398968
BM_141	0	1	1	1	57	265.098096534988	1080.jpg	2063.jpg	10	12	1	i	1	0	595.388760993956	0.7872707	0.7771626	265.715265726991	1	265.1	265.098096534988	0.617169192002621
BM_141	0	1	1	1	58	271.405285404995	1255.jpg	2110.jpg	60	59	1	u	7	1	912.215243006358	0.3341887	0.3349046	272.340091205988	0.5	271.4	271.405285404995	0.934805800992763
BM_141	0	1	1	1	59	282.901880074991	2015.jpg	1028.jpg	9	15	0	u	1	0	671.602554997662	0.8099306	0.7635191	283.585251686978	1	282.9	282.901880074991	0.683371611987241
BM_141	0	1	1	1	60	291.210754468979	1127.jpg	1114.jpg	61	63	1	x	7	999	999000	0.3336991	0.2940255	292.712529717974	0.5	291.2	291.210754468979	1.50177524899482
BM_141	0	1	1	1	61	299.303544541996	2053.jpg	2201.jpg	44	43	1	u	5	1	997.948022995843	0.4648654	0.4727658	300.32145325598	1	299.3	299.303544541996	1.01790871398407
BM_141	0	1	1	1	62	308.196830273984	1035.jpg	2089.jpg	14	13	1	i	1	0	688.667907001218	0.7673594	0.7695678	308.897705610987	1	308.2	308.196830273984	0.700875337002799
BM_141	0	1	1	1	63	313.703419174999	2118.jpg	1031.jpg	33	38	1	u	4	1	766.074442974059	0.5690408	0.5202971	314.487694286974	1	313.7	313.703419174999	0.784275111975148
BM_141	0	1	1	1	64	319.009522238979	2058.jpg	2153.jpg	35	36	0	u	4	0	1051.96080802125	0.5321871	0.5296579	320.076262330986	1	319	319.009522238979	1.06674009200651
BM_141	0	1	2	1	65	321.995585744997	1073.jpg	1013.jpg	62	57	0	u	7	0	761.90838398179	0.3146381	0.3464909	322.780012359988	0.5	322	321.995585744997	0.784426614991389
BM_141	0	1	2	1	66	325.70009505999	1013.jpg	2110.jpg	57	59	1	i	7	0	793.393105006544	0.3464909	0.3349046	326.516923288	0.5	325.7	325.70009505999	0.816828228009399
BM_141	0	1	2	1	67	329.304303829995	1019.jpg	2201.jpg	41	43	1	i	5	0	845.191568980226	0.4886151	0.4727658	330.171037707973	1	329.3	329.304303829995	0.866733877977822
BM_141	0	1	2	1	68	333.108053962991	1052.jpg	1262.jpg	68	66	1	u	8	1	793.428554985439	0.2558749	0.2746963	333.910211356997	1	333.1	333.108053962991	0.802157394005917
BM_141	0	1	2	1	69	338.297091696993	1202.jpg	2118.jpg	39	33	0	u	4	0	908.398080006009	0.5071949	0.5690408	339.217702691996	1	338.3	338.297091696993	0.920610995002789
BM_141	0	1	2	1	70	341.801242052985	2094.jpg	2154.jpg	22	24	0	u	2	0	1084.25577299204	0.6865404	0.6740314	342.90250762098	0.5	341.8	341.801242052985	1.10126556799514
BM_141	0	1	2	1	71	344.905208019976	1255.jpg	1073.jpg	60	62	1	i	7	0	764.287204016	0.3341887	0.3146381	345.689132898988	0.5	344.9	344.905208019976	0.783924879011465
BM_141	0	1	2	1	72	349.209705987974	2058.jpg	2043.jpg	35	37	0	u	4	0	1195.78745300532	0.5321871	0.5236885	350.427116407984	1	349.2	349.209705987974	1.2174104200094
BM_141	0	1	2	1	73	354.598972717999	1254.jpg	2006.jpg	19	21	0	i	2	1	678.522600996075	0.7391137	0.698629	355.300465700973	0.5	354.6	354.598972717999	0.701492982974742
BM_141	0	1	2	1	74	358.003393764986	1052.jpg	1183.jpg	68	67	1	i	8	0	818.100403994322	0.2558749	0.263429	358.836480317987	1	358	358.003393764986	0.833086553000612
BM_141	0	1	2	1	75	363.308673591993	2016.jpg	2125.jpg	16	11	0	u	1	0	784.821324981749	0.75913	0.7871368	364.110069823975	1	363.3	363.308673591993	0.801396231981926
BM_141	0	1	2	1	76	371.701339095976	2149.jpg	1207.jpg	56	55	1	i	6	0	752.156374015613	0.3470984	0.348733	372.471705555974	0.5	371.7	371.701339095976	0.770366459997604
BM_141	0	1	2	1	77	377.307694228977	2154.jpg	2024.jpg	24	23	1	i	2	0	1097.79913601233	0.6740314	0.6825506	378.425768927991	0.5	377.3	377.307694228977	1.11807469901396
BM_141	0	1	2	1	78	380.612052914978	2045.jpg	1145.jpg	40	34	1	i	4	0	649.440977023914	0.4990589	0.5366406	381.279261044983	1	380.6	380.612052914978	0.667208130005747
BM_141	0	1	2	1	79	384.699228183978	1191.jpg	2221.jpg	49	50	1	u	6	1	890.264949004631	0.3890935	0.3867555	385.601347723976	0.5	384.7	384.699228183978	0.902119539998239
BM_141	0	1	2	1	80	388.605643870978	1254.jpg	2212.jpg	19	20	0	i	2	1	551.85003799852	0.7391137	0.6991636	389.17152842498	0.5	388.6	388.605643870978	0.565884554001968
BM_141	0	1	2	1	81	392.809276157001	2112.jpg	2054.jpg	29	28	1	u	3	1	684.216903988272	0.6194485	0.6220144	393.509039607976	0.5	392.8	392.809276157001	0.699763450975297
BM_141	0	1	2	1	82	397.096859368001	2016.jpg	1028.jpg	16	15	0	i	1	1	572.646962973522	0.75913	0.7635191	397.681077724992	1	397.1	397.096859368001	0.584218356991187
BM_141	0	1	2	1	83	401.902008721983	1150.jpg	1210.jpg	71	65	0	i	8	1	727.488842007006	0.2262125	0.2820596	402.637528643972	1	401.9	401.902008721983	0.73551992198918
BM_141	0	1	2	1	84	404.90529163499	2041.jpg	2209.jpg	26	25	1	u	3	1	660.216160991695	0.6369841	0.6528527	405.573967262986	0.5	404.9	404.90529163499	0.668675627995981
BM_141	0	1	2	1	85	410.111302401987	2041.jpg	1216.jpg	26	31	1	u	3	1	886.205090995645	0.6369841	0.5819943	411.011816949991	0.5	410.1	410.111302401987	0.900514548004139
BM_141	0	1	2	1	86	413.999000443	2209.jpg	2112.jpg	25	29	0	i	3	1	702.497809979832	0.6528527	0.6194485	414.715958345972	0.5	414	413.999000443	0.716957902972354
BM_141	0	1	2	1	87	417.102913379	1027.jpg	1017.jpg	51	52	0	u	6	0	822.584508976433	0.371023	0.3653409	417.936234116001	0.5	417.1	417.102913379	0.833320737001486
BM_141	0	1	2	1	88	420.10648827898	1207.jpg	1191.jpg	55	49	0	u	6	0	595.005286013475	0.348733	0.3890935	420.722985230997	0.5	420.1	420.10648827898	0.616496952017769
BM_141	0	1	2	1	89	423.109716741979	1150.jpg	1052.jpg	71	68	0	u	8	0	615.777082013665	0.2262125	0.2558749	423.743664159992	1	423.1	423.109716741979	0.633947418013122
BM_141	0	1	2	1	90	427.797920786979	2240.jpg	1127.jpg	58	61	0	u	7	0	655.576290009776	0.3402947	0.3336991	428.465716344974	0.5	427.8	427.797920786979	0.667795557994395
BM_141	0	1	2	1	91	431.302286608989	2112.jpg	1216.jpg	29	31	1	u	3	1	775.208695995389	0.6194485	0.5819943	432.089858690975	0.5	431.3	431.302286608989	0.787572081986582
BM_141	0	1	2	1	92	438.209562007978	1202.jpg	2043.jpg	39	37	0	u	4	0	867.921930010198	0.5071949	0.5236885	439.093440472992	1	438.2	438.209562007978	0.883878465014277
BM_141	0	1	2	1	93	441.195973393973	1080.jpg	2089.jpg	10	13	1	u	1	1	625.519933004398	0.7872707	0.7695678	441.831814791978	1	441.2	441.195973393973	0.635841398005141
BM_141	0	1	2	1	94	446.201994106988	1262.jpg	1144.jpg	66	72	0	i	8	1	667.502485011937	0.2746963	0.1907257	446.885825310979	1	446.2	446.201994106988	0.683831203990849
BM_141	0	1	2	1	95	449.606114012975	1127.jpg	1073.jpg	61	62	1	u	7	1	623.379577009473	0.3336991	0.3146381	450.241437620978	0.5	449.6	449.606114012975	0.635323608003091
BM_141	0	1	2	1	96	455.095643833978	2128.jpg	2054.jpg	32	28	1	i	3	0	661.840222019237	0.5729401	0.6220144	455.779095345992	0.5	455.1	455.095643833978	0.683451512013562
BM_141	0	1	2	1	97	462.703876988991	2053.jpg	2217.jpg	44	48	1	u	5	1	637.61364898528	0.4648654	0.3899227	463.354109838983	1	462.7	462.703876988991	0.65023284999188
BM_141	0	1	2	1	98	466.608082767983	2218.jpg	2006.jpg	18	21	0	i	2	1	597.402982006315	0.7466257	0.698629	467.225653711997	0.5	466.6	466.608082767983	0.617570944014005
BM_141	0	1	2	1	99	471.296625828982	2209.jpg	2128.jpg	25	32	0	u	3	0	636.869491019752	0.6528527	0.5729401	471.947716696974	0.5	471.3	471.296625828982	0.651090867992025
BM_141	0	1	2	1	100	475.000877555984	2154.jpg	1254.jpg	24	19	1	i	2	0	724.607420997927	0.6740314	0.7391137	475.737734971975	0.5	475	475.000877555984	0.736857415991835
BM_141	0	1	2	1	101	478.504830134974	1017.jpg	2221.jpg	52	50	1	i	6	0	708.669081010157	0.3653409	0.3867555	479.225966392987	0.5	478.5	478.504830134974	0.721136258012848
BM_141	0	1	2	1	102	481.708219108987	2194.jpg	1073.jpg	64	62	1	u	7	1	553.275374986697	0.2844861	0.3146381	482.275132322975	0.5	481.7	481.708219108987	0.5669132139883
BM_141	0	1	2	1	103	491.303238390974	2201.jpg	1146.jpg	43	47	0	i	5	1	614.247406017967	0.4727658	0.418096	491.936096486985	1	491.3	491.303238390974	0.63285809601075
BM_141	0	1	2	1	104	495.007116478984	1262.jpg	1210.jpg	66	65	0	i	8	1	798.378656007117	0.2746963	0.2820596	495.824407931999	1	495	495.007116478984	0.817291453015059
BM_141	0	1	2	1	105	498.510459443001	2155.jpg	2164.jpg	45	46	0	u	5	0	759.034407994477	0.4553872	0.4436071	499.281875043991	1	498.5	498.510459443001	0.771415600989712
BM_141	0	1	2	1	106	507.504064947978	1145.jpg	2043.jpg	34	37	0	i	4	1	1061.4192050125	0.5366406	0.5236885	508.588551890978	1	507.5	507.504064947978	1.08448694300023
BM_141	0	1	2	1	107	511.208237045998	1226.jpg	1052.jpg	70	68	0	u	8	0	517.256720981095	0.2450206	0.2558749	511.742092955974	1	511.2	511.208237045998	0.53385590997641
BM_141	0	1	2	1	108	515.496669960994	2128.jpg	1216.jpg	32	31	1	u	3	1	628.813118994003	0.5729401	0.5819943	516.147302573983	0.5	515.5	515.496669960994	0.650632612989284
BM_141	0	1	2	1	109	521.403219397995	2024.jpg	1228.jpg	23	17	0	i	2	1	594.27648599376	0.6825506	0.7475797	522.020418546977	0.5	521.4	521.403219397995	0.617199148982763
BM_141	0	1	2	1	110	527.50972978599	2201.jpg	2164.jpg	43	46	0	u	5	0	575.763861008454	0.4727658	0.4436071	528.093831427977	1	527.5	527.50972978599	0.584101641987218
BM_141	0	1	2	1	111	531.197869195981	2221.jpg	2149.jpg	50	56	0	i	6	1	695.613930001855	0.3867555	0.3470984	531.914450725977	0.5	531.2	531.197869195981	0.716581529995892
BM_141	0	1	2	1	112	538.105633343977	1007.jpg	1262.jpg	69	66	1	i	8	0	691.860746010207	0.2548895	0.2746963	538.805469757994	1	538.1	538.105633343977	0.699836414016318
BM_141	0	1	2	1	113	547.399096927984	2016.jpg	1035.jpg	16	14	0	u	1	0	566.397918009898	0.75913	0.7673594	547.983257168991	1	547.4	547.399096927984	0.584160241007339
BM_141	0	1	2	1	114	551.403378371993	2111.jpg	1019.jpg	42	41	0	i	5	1	610.096557007637	0.4743448	0.4886151	552.023558802	1	551.4	551.403378371993	0.620180430007167
BM_141	0	1	2	1	115	556.009078154981	1228.jpg	1254.jpg	17	19	1	u	2	1	916.406995005673	0.7475797	0.7391137	556.942526219995	0.5	556	556.009078154981	0.93344806501409
BM_141	0	1	2	1	116	559.896808938996	2125.jpg	2063.jpg	11	12	1	u	1	1	740.690298989648	0.7871368	0.7771626	560.649702228984	1	559.9	559.896808938996	0.752893289987696
BM_141	0	1	2	1	117	568.005264489999	1145.jpg	2153.jpg	34	36	0	i	4	1	720.219851995353	0.5366406	0.5296579	568.739221176977	1	568	568.005264489999	0.733956686977763
BM_141	0	1	2	1	118	572.51054941598	1207.jpg	1017.jpg	55	52	0	u	6	0	774.94486499927	0.348733	0.3653409	573.297835823993	0.5	572.5	572.51054941598	0.787286408012733
BM_141	0	1	2	1	119	575.997767242981	1060.jpg	1027.jpg	53	51	1	i	6	0	687.727123004152	0.3590905	0.371023	576.698250877991	0.5	576	575.997767242981	0.700483635009732
BM_141	0	1	2	1	120	579.902040076995	2155.jpg	2053.jpg	45	44	0	i	5	1	791.444647999015	0.4553872	0.4648654	580.706324863975	1	579.9	579.902040076995	0.804284786980134
BM_141	0	1	2	1	121	583.105592452979	1080.jpg	2016.jpg	10	16	1	u	1	1	1147.89051399566	0.7872707	0.75913	584.273209296982	1	583.1	583.105592452979	1.16761684400262
BM_141	0	1	2	1	122	589.396695009986	1013.jpg	1114.jpg	57	63	1	i	7	0	664.799385005608	0.3464909	0.2940255	590.08037924298	0.5	589.4	589.396695009986	0.683684232993983
BM_141	0	1	2	1	123	600.909292795986	2063.jpg	1035.jpg	12	14	0	u	1	0	864.190040010726	0.7771626	0.7673594	601.793021125981	1	600.9	600.909292795986	0.883728329994483
BM_141	0	1	2	1	124	609.202396201988	1114.jpg	1255.jpg	63	60	0	i	7	1	531.089055992197	0.2940255	0.3341887	609.752553509985	0.5	609.2	609.202396201988	0.550157307996415
BM_141	0	1	2	1	125	617.310709711979	2053.jpg	2111.jpg	44	42	1	u	5	1	910.789348010439	0.4648654	0.4743448	618.231843960995	1	617.3	617.310709711979	0.921134249016177
BM_141	0	1	2	1	126	626.204318233998	1035.jpg	2015.jpg	14	9	1	u	1	1	929.176760982955	0.7673594	0.8099306	627.15589672199	1	626.2	626.204318233998	0.951578487991355
BM_141	0	1	2	1	127	631.710927635984	2153.jpg	1031.jpg	36	38	1	i	4	0	558.571308996761	0.5296579	0.5202971	632.281531744986	1	631.7	631.710927635984	0.570604109001579
BM_141	0	1	2	1	128	637.000202859985	2153.jpg	1202.jpg	36	39	1	u	4	1	677.280936011812	0.5296579	0.5071949	637.700175141974	1	637	637.000202859985	0.699972281989176
