Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial
BM_148	69	0.2784736	2043.jpg	49	8	0	0	3	75	235
BM_148	61	0.3349471	2181.jpg	69	7	0.5	0	3	76	236
BM_148	79	0.1446499	2155.jpg	67	0	0	0	3	77	237
BM_148	55	0.3617687	2058.jpg	53	6	0	0	3	78	238
BM_148	16	0.7170944	2248.jpg	79	1	0.5	0	3	79	239
BM_148	3	0.9000744	2016.jpg	45	0	0	0	3	80	240
BM_148	64	0.3224242	1192.jpg	28	7	0.5	1	4	1	241
BM_148	12	0.7660969	2015.jpg	44	1	0.5	0	4	2	242
BM_148	28	0.5836822	1019.jpg	5	3	1	1	4	3	243
BM_148	37	0.5227787	2240.jpg	78	4	0.5	0	4	4	244
BM_148	74	0.231611	1226.jpg	35	0	0	0	4	5	245
BM_148	22	0.6487454	2053.jpg	51	2	1	1	4	6	246
BM_148	65	0.31892	1220.jpg	34	8	0	0	4	7	247
BM_148	31	0.5608541	1027.jpg	6	3	0	0	4	8	248
BM_148	69	0.2784736	2043.jpg	49	8	0	0	4	9	249
BM_148	48	0.4027942	2128.jpg	63	5	1	1	4	10	250
BM_148	36	0.5230246	1145.jpg	21	4	0.5	0	4	11	251
BM_148	49	0.4025323	2164.jpg	68	6	0	0	4	12	252
BM_148	20	0.6650071	1009.jpg	2	2	1	1	4	13	253
BM_148	68	0.2848033	2041.jpg	48	8	0	0	4	14	254
BM_148	7	0.8163025	2112.jpg	59	0	0	0	4	15	255
BM_148	14	0.7446452	1202.jpg	29	1	0	0	4	16	256
BM_148	53	0.3783371	2110.jpg	57	6	0.5	0	4	17	257
BM_148	72	0.2460145	1073.jpg	14	8	0	0	4	18	258
BM_148	3	0.9000744	2016.jpg	45	0	0	0	4	19	259
BM_148	8	0.809856	1182.jpg	25	0	0	0	4	20	260
BM_148	73	0.2351323	1017.jpg	4	0	0	0	4	21	261
BM_148	19	0.6657834	2212.jpg	73	2	0	0	4	22	262
BM_148	1	0.9253113	2006.jpg	41	0	0	0	4	23	263
BM_148	25	0.6308967	2201.jpg	71	3	1	1	4	24	264
BM_148	66	0.312413	2024.jpg	46	8	1	1	4	25	265
BM_148	46	0.4252621	1050.jpg	10	5	0	0	4	26	266
BM_148	44	0.4310441	1183.jpg	26	5	1	1	4	27	267
BM_148	6	0.827827	2089.jpg	55	0	0	0	4	28	268
BM_148	62	0.3274475	1150.jpg	23	7	0	0	4	29	269
BM_148	41	0.4492809	1207.jpg	31	5	1	1	4	30	270
